CRIM_Mass_ID,Title,Composer,Source_ID,Date of Mass,CRIM_Model_ID,Editor,Date,Reviewed,Other_Sources,Notes,MEI links,PDF links
CRIM_Mass_0001,Missa Confitemini,CRIM_Person_0001,CRIM_Source_0001,1556,,Vincent Besson,2015-06-02,,,(rev. by Marco Gurrieri 2015-07-23),http://92.154.49.37/CRIM/files/original/055666e19ab020e13902378ef638c5f0.mei|http://92.154.49.37/CRIM/files/original/da6d1ce377f97dbb1ab1c734c3025ba3.mei|http://92.154.49.37/CRIM/files/original/711308080cd07562b4aeabab2663534b.mei|http://92.154.49.37/CRIM/files/original/5813b93dac855c858e008c679cca350c.mei|http://92.154.49.37/CRIM/files/original/23e1bf64f64c9de4fd074855970658f3.mei,http://92.154.49.37/CRIM/files/original/aad64962d5e6d84beaaaedb024e4af0e.pdf|http://92.154.49.37/CRIM/files/original/924737152cd748ee03329efdb905c45e.pdf|http://92.154.49.37/CRIM/files/original/7b79637e11609273d4cb6a31fcc4b368.pdf|http://92.154.49.37/CRIM/files/original/c1662b8a6392c045941f77e160a61cbe.pdf|http://92.154.49.37/CRIM/files/original/d2f768e0f3015b7371ab8390a2523f1d.pdf
CRIM_Mass_0002,Missa Vidi speciosam,CRIM_Person_0003,CRIM_Source_0002,1556,CRIM_Model_0001,Marco Gurrieri,2015-06-02,,,(rev. 2015-07-23),http://92.154.49.37/CRIM/files/original/7ed0710885b124a22e55c0b7c4e7177d.mei|http://92.154.49.37/CRIM/files/original/ea2e4483952322bfae02245ef838ce84.mei|http://92.154.49.37/CRIM/files/original/2839e783847fec9e1eb287850cc7806f.mei|http://92.154.49.37/CRIM/files/original/076954e0cc129d16e521173ba8ed1702.mei|http://92.154.49.37/CRIM/files/original/13bbb050e5dd5cd701b8db0946e58c87.mei,http://92.154.49.37/CRIM/files/original/e5a59d5d2adfa54ded0d0f27635cdd8f.pdf|http://92.154.49.37/CRIM/files/original/66f11f73a051f55a9aa499cfb6c3e48f.pdf|http://92.154.49.37/CRIM/files/original/e388ba4ef6c28975a78c1a2da0e2890e.pdf|http://92.154.49.37/CRIM/files/original/9008dc7a21c2fd54ed7bca69c72abd0d.pdf|http://92.154.49.37/CRIM/files/original/f05500159295c0266e4b4c91de091149.pdf
CRIM_Mass_0003,Missa O gente brunette,CRIM_Person_0009,CRIM_Source_0009,1568,CRIM_Model_0002,David Fiala,2015-06-02,,,(rev. by Marco Gurrieri 2015-07-23),http://92.154.49.37/CRIM/files/original/b685e0cf1de3ac7d9700ce97383c1753.mei|http://92.154.49.37/CRIM/files/original/9a62bbe90b447f5b92e3f05a085cd1fb.mei|http://92.154.49.37/CRIM/files/original/a06a32be97d3ca7da00869cb4329f54d.mei|http://92.154.49.37/CRIM/files/original/e30222028979b52bddd4058742b3e273.mei|http://92.154.49.37/CRIM/files/original/5bbea703ec9480f6f24dff7076d84f98.mei,http://92.154.49.37/CRIM/files/original/fea792413cc837b6d3174a6daddbb720.pdf|http://92.154.49.37/CRIM/files/original/9ae8392c724988538db10234afa1b861.pdf|http://92.154.49.37/CRIM/files/original/72b84fba0019b4eba401d7c5b28de45a.pdf|http://92.154.49.37/CRIM/files/original/59ed05d29940146582e2252c81cf4078.pdf|http://92.154.49.37/CRIM/files/original/e368a86f57aada1eb101ae933bd2dafe.pdf|http://92.154.49.37/CRIM/files/original/b41da7c68dad47c573d0bfd1a7677c6b.pdf
CRIM_Mass_0004,Missa Virginis Mariae,CRIM_Person_0011,CRIM_Source_0011,1557,CRIM_Model_0003 | CRIM_Model_0004 | CRIM_Model_0005 | CRIM_Model_0006 | CRIM_Model_0007,Marco Gurrieri,2015-08-08,,,,http://92.154.49.37/CRIM/files/original/cec9e08ab18ea585db4ff0d4c16eca0d.mei|http://92.154.49.37/CRIM/files/original/e212991e0593a7c03c884b77d8cd868d.mei|http://92.154.49.37/CRIM/files/original/1b598bb63c79e5cd5108bf2ea8283927.mei|http://92.154.49.37/CRIM/files/original/48be2d1c5067cd75a553c58544101de4.mei|http://92.154.49.37/CRIM/files/original/b8ab46f45ddbbad4ba5ab00e0200a416.mei,http://92.154.49.37/CRIM/files/original/b3d8ecfaf1a74bda253c9aa5e52f0389.pdf|http://92.154.49.37/CRIM/files/original/4dcdc70f2e0eb661858e5d1af63813c2.pdf|http://92.154.49.37/CRIM/files/original/cd2bd7495b80ec390103bf140fb3c253.pdf|http://92.154.49.37/CRIM/files/original/60e01902bb80cfedea709de3cb4cb57b.pdf|http://92.154.49.37/CRIM/files/original/a5ad7c917d769db8c99af71602946059.pdf
CRIM_Mass_0005,Missa Ave Maria,CRIM_Person_0015,CRIM_Source_0017,1515,CRIM_Model_0008,Marco Gurrieri,2015-09-04,,,,http://92.154.49.37/CRIM/files/original/7a04e67f48cb3c1056301e598d4fd00e.mei|http://92.154.49.37/CRIM/files/original/3ab294fd7121487a9d8da3e990d743a0.mei|http://92.154.49.37/CRIM/files/original/cc3227b6304c4ca1e689be8507a0643a.mei|http://92.154.49.37/CRIM/files/original/285a7682afcaa183419fad22218cf957.mei|http://92.154.49.37/CRIM/files/original/31c7d33592876e5368b6c454c87fd8e7.mei,http://92.154.49.37/CRIM/files/original/95a794c6a00b5e47e4b780f45e7e75ee.pdf|http://92.154.49.37/CRIM/files/original/14299d1956518c57e893b879ce7621a9.pdf|http://92.154.49.37/CRIM/files/original/641a07cc583e212825fbf45e9fe57470.pdf|http://92.154.49.37/CRIM/files/original/82feebd8494eb59beb3b43965db34bbd.pdf|http://92.154.49.37/CRIM/files/original/79614639a84b1b8d77b587bc4fbe2904.pdf
CRIM_Mass_0006,Missa Je suis déshéritée,CRIM_Person_0018,CRIM_Source_0019,1556,CRIM_Model_0009,Marco Gurrieri,2015-09-18,,,,http://92.154.49.37/CRIM/files/original/43e12f05ef4d7eb64a5e8db1e93caa80.mei|http://92.154.49.37/CRIM/files/original/c2204856d2c8f340d387d42ac392ddf8.mei|http://92.154.49.37/CRIM/files/original/1cef4cd106c727f64b7dd5a7df420f0f.mei|http://92.154.49.37/CRIM/files/original/8a62abe58ae4ee037bc93d8cd5c7c4f6.mei|http://92.154.49.37/CRIM/files/original/9b37d6dc5f0749748c48ac8e0f30d949.mei,http://92.154.49.37/CRIM/files/original/0851793550b17f6ee65e497ef1d8de2d.pdf|http://92.154.49.37/CRIM/files/original/fa41969e2af6a8dbd2a850167799ca53.pdf|http://92.154.49.37/CRIM/files/original/71ecadba1ad5b52ae0e09f823ef6f7c5.pdf|http://92.154.49.37/CRIM/files/original/bcc98c70581c52cd5966a733d07ee230.pdf|http://92.154.49.37/CRIM/files/original/571229b7317339552db25962e226dfd7.pdf
CRIM_Mass_0007,Missa Je suis déshéritée,CRIM_Person_0020,CRIM_Source_0021,1557,CRIM_Model_0009,Marco Gurrieri,2015-10-20,,,,http://92.154.49.37/CRIM/files/original/8e2ab18bdadcc92dc6a45df7981eab03.mei|http://92.154.49.37/CRIM/files/original/b577ccad489964864f3196948f33810a.mei|http://92.154.49.37/CRIM/files/original/fda7fcc8e8fd0c70ceefa2d5d960c416.mei|http://92.154.49.37/CRIM/files/original/3729aac97bd1bee5fe3f3eda65199a52.mei|http://92.154.49.37/CRIM/files/original/2ffccac951b0829622b0633e9ac58207.mei,http://92.154.49.37/CRIM/files/original/e6f81556d37fd1a3d32a4a2425ae0f65.pdf|http://92.154.49.37/CRIM/files/original/7f563bee15ea411edf11010eafbd8dd2.pdf|http://92.154.49.37/CRIM/files/original/6ec4e25020ea15ea9b009e3ea78540db.pdf|http://92.154.49.37/CRIM/files/original/c3b2acc405e3ba1b445940d9b3f5ab41.pdf|http://92.154.49.37/CRIM/files/original/d2f131d4088fe06c1a8224509e0c27a0.pdf
CRIM_Mass_0008,Missa Quare fremuerunt gentes,CRIM_Person_0021,CRIM_Source_0022,1556,CRIM_Model_0010,Marco Gurrieri,2015-11-16,,,,http://92.154.49.37/CRIM/files/original/b982a8efdb5c4f95695f925681870b63.mei|http://92.154.49.37/CRIM/files/original/f0d8df4918158b37d2855b4350539faf.mei|http://92.154.49.37/CRIM/files/original/923f02f5f8f6bee216584f5ceba6018d.mei|http://92.154.49.37/CRIM/files/original/3444e224df578164989360cc9b00d327.mei|http://92.154.49.37/CRIM/files/original/e524a2b6b3710721367eccd42aad8e53.mei,http://92.154.49.37/CRIM/files/original/4db25931ca4215feb8839b1d6c34ceff.pdf|http://92.154.49.37/CRIM/files/original/268dc482bfe70f2e3722400b2ea60dbf.pdf|http://92.154.49.37/CRIM/files/original/3313f3e58195cff15e34714db7134af7.pdf|http://92.154.49.37/CRIM/files/original/e769c8319fb87dc45bec92ddaddc33e9.pdf|http://92.154.49.37/CRIM/files/original/d20fea370b5d546d138b67dc67d99687.pdf
CRIM_Mass_0009,Missa Tota pulchra es,CRIM_Person_0021,CRIM_Source_0024,1556,CRIM_Model_0011,Marco Gurrieri,2015-11-29,,,,http://92.154.49.37/CRIM/files/original/6fb3bd785129d9e884d667d73232deea.mei|http://92.154.49.37/CRIM/files/original/397ced78c2204727eda898a578494452.mei|http://92.154.49.37/CRIM/files/original/47c9dc3c70fd86db9b49c252617de80f.mei|http://92.154.49.37/CRIM/files/original/9aed0578764d9eaf734e0847fd48cdfd.mei|http://92.154.49.37/CRIM/files/original/b5faad902ea15d4e31aa42f9290275ae.mei,http://92.154.49.37/CRIM/files/original/45d4ad3353806ba413500b85c1499813.pdf|http://92.154.49.37/CRIM/files/original/eb612cb6849a22476bfd5990829741fd.pdf|http://92.154.49.37/CRIM/files/original/a0b0b52d0a266c593135be1dbd40a22f.pdf|http://92.154.49.37/CRIM/files/original/96835ced591bf2b7f538f4ab10309a43.pdf|http://92.154.49.37/CRIM/files/original/f24a905fc28bfc387f5b1921648f49f3.pdf
CRIM_Mass_0010,Missa Voulant honneur,CRIM_Person_0021,CRIM_Source_0026,1556,CRIM_Model_0012,Marco Gurrieri,2015-12-16,,,,http://92.154.49.37/CRIM/files/original/9b8c0dba04c18ef6adfed673c9a88fbd.mei|http://92.154.49.37/CRIM/files/original/377307d0d5e7a13baf3077a8eb555ab2.mei|http://92.154.49.37/CRIM/files/original/751a101c1574f2ead1c738b1a423c830.mei|http://92.154.49.37/CRIM/files/original/f96a6db25250083cc9e129cc7a05eae0.mei|http://92.154.49.37/CRIM/files/original/7347edf538b3edbbf9919967df6e95ef.mei,http://92.154.49.37/CRIM/files/original/a5b1ddee086daec3f2c18fa05346f71c.pdf|http://92.154.49.37/CRIM/files/original/690c279e28509da77a4091315051690c.pdf|http://92.154.49.37/CRIM/files/original/d48d59d681687cfc139e1d37d29fed5e.pdf|http://92.154.49.37/CRIM/files/original/435c159b0c6fc7521187a248f2c3b996.pdf|http://92.154.49.37/CRIM/files/original/a4590f5b9d1107424ab9ee343c59967e.pdf
CRIM_Mass_0011,Missa Je n’en puis plus durer,CRIM_Person_0024,CRIM_Source_0028,1557,CRIM_Model_0013,Marco Gurrieri,2015-12-26,,,,http://92.154.49.37/CRIM/files/original/dacc6cae420d354738558cbb3bec3379.mei|http://92.154.49.37/CRIM/files/original/4ec44de9522b3205e89ba5f5b7f4a328.mei|http://92.154.49.37/CRIM/files/original/517c1959aafaefab3034c2204bcbeda7.mei|http://92.154.49.37/CRIM/files/original/e0b0b327cb191cdf6d5a03fe30ca840e.mei|http://92.154.49.37/CRIM/files/original/b16f9f8cd86c10af2ac64e727f020f5a.mei,http://92.154.49.37/CRIM/files/original/c6e9a95eff663ae04858ca9cca7f4c98.pdf|http://92.154.49.37/CRIM/files/original/1b01701e8d466cad7f2d5dac88c46690.pdf|http://92.154.49.37/CRIM/files/original/8d1254adf6c7543466638ac9ac8e5bb2.pdf|http://92.154.49.37/CRIM/files/original/1b99327b89edf724f46d957b04901198.pdf|http://92.154.49.37/CRIM/files/original/789b49f86446d3d0138af35dd31d8c7c.pdf
CRIM_Mass_0012,Missa Si bona suscepimus,CRIM_Person_0026,CRIM_Source_0030,1557,CRIM_Model_0014,Marco Gurrieri,2016-01-05,,,,http://92.154.49.37/CRIM/files/original/98f887585dba05d6f3234181d72baf64.mei|http://92.154.49.37/CRIM/files/original/d7b1b6bd6fd3bfdba9b9045dd2e07130.mei|http://92.154.49.37/CRIM/files/original/532fe474e2e22118929fb1e7018855f8.mei|http://92.154.49.37/CRIM/files/original/5e7ff8d2bf55b3f9c2c885801c0b565a.mei|http://92.154.49.37/CRIM/files/original/085f0f8be273f09b32e26776e9ea6fc8.mei,http://92.154.49.37/CRIM/files/original/9826b2dce0e29c38613cf48c35af458d.pdf|http://92.154.49.37/CRIM/files/original/b6b6c814482c58e8de1d83d28883a934.pdf|http://92.154.49.37/CRIM/files/original/39dac34924ad30ed8696001098320428.pdf|http://92.154.49.37/CRIM/files/original/58ff2f5172dac593af2b33c66ccd0fc4.pdf|http://92.154.49.37/CRIM/files/original/94f54acc8bfe2964cc6c88e04a9d8507.pdf
CRIM_Mass_0013,Missa Quo abiit dilectus tuus,CRIM_Person_0028,CRIM_Source_0032,1556,CRIM_Model_0015,Marco Gurrieri,2016-02-01,,,,http://92.154.49.37/CRIM/files/original/ad7892a25b222716ae1da56beac0f211.mei|http://92.154.49.37/CRIM/files/original/3445fa225ce7b32bb041ccf0cd566a89.mei|http://92.154.49.37/CRIM/files/original/665fe22019532726ddca838dbe13de22.mei|http://92.154.49.37/CRIM/files/original/5fefb3bc53d8da0551c6324ce1861368.mei|http://92.154.49.37/CRIM/files/original/1efbfb81cc93c149feb8aa8433d7350c.mei,http://92.154.49.37/CRIM/files/original/b037bc1faced3a12ae7ae39067432879.pdf|http://92.154.49.37/CRIM/files/original/7c66bc2ae5c8b9f61e21b11957ed6247.pdf|http://92.154.49.37/CRIM/files/original/33d32c14ecf0850eeb9c1d01df0d050f.pdf|http://92.154.49.37/CRIM/files/original/81958394fd6b5270b2250d90921a2651.pdf|http://92.154.49.37/CRIM/files/original/85f7b6caca6fbd7343676505e9d25367.pdf
CRIM_Mass_0014,Missa Mente tota,CRIM_Person_0015,CRIM_Source_0017,1515,CRIM_Model_0016,Marco Gurrieri,2016-04-11,,,,http://92.154.49.37/CRIM/files/original/1b7b354d4f272de1983c70cc4871d8cc.mei|http://92.154.49.37/CRIM/files/original/b838c0c49ec78b1db74ed65c2b79767a.mei|http://92.154.49.37/CRIM/files/original/d85ea3192f54731e1f2e8c2e7cd340c5.mei|http://92.154.49.37/CRIM/files/original/046f1ae06da4d55067cea51e7deec470.mei|http://92.154.49.37/CRIM/files/original/5feb23bc5d2be1f3c3a27d56bac587c6.mei,http://92.154.49.37/CRIM/files/original/07961d1889dc4e2e48067d5a73432958.pdf|http://92.154.49.37/CRIM/files/original/45262bf76017b8174643bf8e84bb98db.pdf|http://92.154.49.37/CRIM/files/original/2fd8788f7143c2fa2cf0a11040ee3315.pdf|http://92.154.49.37/CRIM/files/original/78d64261c79c2ff74be01d4166aa2678.pdf|http://92.154.49.37/CRIM/files/original/99896ad1d8bf98fba5621132f8480b8b.pdf
CRIM_Mass_0015,Missa Benedicta es,CRIM_Person_0031,CRIM_Source_0035,1565,CRIM_Model_0017,Marco Gurrieri,2017-02-05,,,,http://92.154.49.37/CRIM/files/original/8365f28fe5b7153f4fd19aba70dc991d.mei|http://92.154.49.37/CRIM/files/original/2948089d6cab8e3e632cbe1255b0bf64.mei|http://92.154.49.37/CRIM/files/original/532f5cb2a0d75ce3afb971b24a875ad3.mei|http://92.154.49.37/CRIM/files/original/c07431a4599bd858eeefba38e5731dd7.mei|http://92.154.49.37/CRIM/files/original/7d304a2f1a833052ea2f4b9d342d8fc0.mei,http://92.154.49.37/CRIM/files/original/fa4e829e1f0bd297677aa6349c4b5a86.pdf|http://92.154.49.37/CRIM/files/original/548ffaadb8fe76ec181e7e2ea0c72a3f.pdf|http://92.154.49.37/CRIM/files/original/f94f9d00be47885ae06be70453f82bc6.pdf|http://92.154.49.37/CRIM/files/original/ed2bfc9e43c3352a2482d8bb6e6cafe7.pdf|http://92.154.49.37/CRIM/files/original/33a7409866b13ae450f167316c3261ac.pdf
CRIM_Mass_0016,Missa Mente tota,CRIM_Person_0035,CRIM_Source_0037,1520–1560,CRIM_Model_0016,Marco Gurrieri,2017-02-11,,,,http://92.154.49.37/CRIM/files/original/def5d751e6d4a35a34e6665cd9004aaa.mei|http://92.154.49.37/CRIM/files/original/d8064d0d82ee2a8532dc869500aae0dd.mei|http://92.154.49.37/CRIM/files/original/7bfced971a2e95337bda9256cedd3bfe.mei|http://92.154.49.37/CRIM/files/original/243f7b593e29af5724a1316f35d5a8a2.mei|http://92.154.49.37/CRIM/files/original/5c9914a96f4e5478ff2373bd843d7be7.mei,http://92.154.49.37/CRIM/files/original/7d9d044273eb12219dd4e2b155d4f218.pdf|http://92.154.49.37/CRIM/files/original/88722302ecbc3a4aed7040ed4163c4cb.pdf|http://92.154.49.37/CRIM/files/original/878e4541e544ce2e8149847f9c374bcd.pdf|http://92.154.49.37/CRIM/files/original/b7aa32d259b3da3dd1595e46214f8a35.pdf|http://92.154.49.37/CRIM/files/original/5b852f2a55ca2f384a7f28fb0a273cfb.pdf
CRIM_Mass_0017,Missa Baisiez moy,CRIM_Person_0036,CRIM_Source_0039,1513–1514,CRIM_Model_0018,Marco Gurrieri,2017-02-18,,,,http://92.154.49.37/CRIM/files/original/73c7f0c7fc4f3521bdc478e2951b0d10.mei|http://92.154.49.37/CRIM/files/original/f297f5c7e4487552bfe1b866cc367f7b.mei|http://92.154.49.37/CRIM/files/original/08c1953f0ffd200214d822f7f862827f.mei|http://92.154.49.37/CRIM/files/original/2d7311f5a3437942487d57cb8110b34d.mei|http://92.154.49.37/CRIM/files/original/d9e50ed2d91bab0d5bc1bd218a2771be.mei,http://92.154.49.37/CRIM/files/original/7b1a5b7db9f2f7bb11aceece360c7360.pdf|http://92.154.49.37/CRIM/files/original/9d458f9659e05a45eaa3c387a868053b.pdf|http://92.154.49.37/CRIM/files/original/c9d1a725b02d4c4616e1856ecd209e1f.pdf|http://92.154.49.37/CRIM/files/original/f2abbe8264913b969a604e2e294763e4.pdf|http://92.154.49.37/CRIM/files/original/eb4549d7fa3955a73d142f3d60f21a2d.pdf
CRIM_Mass_0018,Missa Benedicta es,CRIM_Person_0037,CRIM_Source_0040,1551,CRIM_Model_0017,Marco Gurrieri,2017-02-21,,CRIM_Source_0041,,http://92.154.49.37/CRIM/files/original/93f81b31408e3874cc34e7cc867a09c3.mei|http://92.154.49.37/CRIM/files/original/9d36a9d520496d8a47df3aea1b4aeb72.mei|http://92.154.49.37/CRIM/files/original/28f4d4f36b1a19866423a02989ab0eda.mei|http://92.154.49.37/CRIM/files/original/898281c1b5f356cbccdddd116af81f45.mei|http://92.154.49.37/CRIM/files/original/2e9b1b4866055b00ab43d14c291f3cb4.mei,http://92.154.49.37/CRIM/files/original/9f822495e0417c96c74d082c7e7a0f77.pdf|http://92.154.49.37/CRIM/files/original/4cc0d8e5206a25b51fbbf1f0adf174be.pdf|http://92.154.49.37/CRIM/files/original/4fb15d008f1c0ac0e497881c11301ef3.pdf|http://92.154.49.37/CRIM/files/original/61ab80d831490cb37e57f0345720a240.pdf|http://92.154.49.37/CRIM/files/original/eb194043768f1c0b8477c9cae7b7463c.pdf
CRIM_Mass_0019,Missa Veni sponsa Christi,CRIM_Person_0031,CRIM_Source_0043,1599,CRIM_Model_0019,Marco Gurrieri,2017-02-22,,,,http://92.154.49.37/CRIM/files/original/b4be7b23f70de329c9b62acb3498d420.mei|http://92.154.49.37/CRIM/files/original/80f3ec142b342eccd26644cecba4557b.mei|http://92.154.49.37/CRIM/files/original/48f9063b8691a63c554c4e2cfaebb17c.mei|http://92.154.49.37/CRIM/files/original/7cd5f8ae5da611f9bc2d28c2320d02db.mei|http://92.154.49.37/CRIM/files/original/ad677d2e4b24b6cb26decf35190e3383.mei,http://92.154.49.37/CRIM/files/original/ad9f69d2636f33fdca8b0d2b4dab5107.pdf|http://92.154.49.37/CRIM/files/original/fc18be15cb827191b2a5e00c9a284730.pdf|http://92.154.49.37/CRIM/files/original/61a80c512f22eaad252ef487cbe851c8.pdf|http://92.154.49.37/CRIM/files/original/bd1cb7738c3c427154f7df6b2968636f.pdf|http://92.154.49.37/CRIM/files/original/371782cf59b09287995c32eb21c561f4.pdf
CRIM_Mass_0020,Missa Susanne un jour,CRIM_Person_0041,CRIM_Source_0045,1570,CRIM_Model_0020,Marco Gurrieri,2017-02-26,,,,http://92.154.49.37/CRIM/files/original/238670bab93dc7918727ebc80ab188f3.mei|http://92.154.49.37/CRIM/files/original/d12a01fddf568b9a0cd7b749bad24ab3.mei|http://92.154.49.37/CRIM/files/original/997f74715356026155882fb698590d5e.mei|http://92.154.49.37/CRIM/files/original/aef85c46b658265cfc7c92d2bf191236.mei|http://92.154.49.37/CRIM/files/original/6c3ef83527cc29e84061dfe152399c45.mei,http://92.154.49.37/CRIM/files/original/c1f1b7fb203b8f3425e12debfe3d6068.pdf|http://92.154.49.37/CRIM/files/original/3a6ded095476e694e4d467a589a68eac.pdf|http://92.154.49.37/CRIM/files/original/b09f9e4b0db79da7df59c8bf7942e0de.pdf|http://92.154.49.37/CRIM/files/original/e1df98e9000db2020987fc5b6e1114ba.pdf|http://92.154.49.37/CRIM/files/original/61ac4750879459d41b8825ba621c60a7.pdf