CRIM_Source_ID,CESR_Source_ID,Title,Date,Ms,Publisher,Person_ID of Publisher,Copies Used (Location),URL of Facsimile,,,,,
CRIM_Source_0001,,Missa Confitemini,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-10 RISM A I, C 3312",http://gallica.bnf.fr/ark:/12148/btv1b90597531,,,,,
CRIM_Source_0002,,Missa Vidi speciosam,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-13 RISM A I, S 3839",http://gallica.bnf.fr/ark:/12148/btv1b90597620,,,,,
CRIM_Source_0003,,Musicae Cantiones,1542,,Attaignant,CRIM_Person_0005,"A-Wn SA.78.C.1/1-4 19 RISM A I, L 3089",,,,,,
CRIM_Source_0004,,Mottetti del Fiore,1539,,Gardane,CRIM_Person_0006,"A-Wn SA.76.F.45/1-5 18 RISM B I, 1539/6",,,,,,
CRIM_Source_0005,,Motettorum,1538,,Moderne,CRIM_Person_0007,"A-Wn SA.76.C.1/1-4 18 18 RISM B I, 1538/2",,,,,,
CRIM_Source_0006,,Cantiones,1539,,Schoeffer,CRIM_Person_0008,"I-Bc R.146 RISM B I, 1539/8",,,,,,
CRIM_Source_0007,,,c. 1530-1540,yes,,,D-Usch MS 237/a-d,,,,,,
CRIM_Source_0008,,,1549,yes,,,NL-L MS 1438,,,,,,
CRIM_Source_0009,,Missa O gente brunette,1568,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-22 RISM A I, M 711",http://gallica.bnf.fr/ark:/12148/btv1b9059777f,,,,,
CRIM_Source_0010,,Chansons Nouvelles,1548,,Attaignant,CRIM_Person_0005,"D-Mbs 4 Mus.pr. 44783-25/35 RISM B I, 1548/4",,,,,,
CRIM_Source_0011,,Missa Virginis Mariae,1557,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-18 RISM A I, C 3187",http://gallica.bnf.fr/ark:/12148/btv1b9059771z,,,,,
CRIM_Source_0012,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Kyrie,1998,,Marie-Claire Billecocq | Rupert Fischer,CRIM_Person_0013 | CRIM_Person_0014,"Graduale triplex, pp. 741-742",,,,,,
CRIM_Source_0013,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Gloria,1998,,Marie-Claire Billecocq | Rupert Fischer,CRIM_Person_0013 | CRIM_Person_0014,"Graduale triplex, pp. 742-743",,,,,,
CRIM_Source_0014,,Credo I,1998,,Marie-Claire Billecocq | Rupert Fischer,CRIM_Person_0013 | CRIM_Person_0014,"Graduale triplex, pp. 769-771",,,,,,
CRIM_Source_0015,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Sanctus,1998,,Marie-Claire Billecocq | Rupert Fischer,CRIM_Person_0013 | CRIM_Person_0014,"Graduale triplex, pp. 743-744",,,,,,
CRIM_Source_0016,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Agnus Dei,1998,,Marie-Claire Billecocq | Rupert Fischer,CRIM_Person_0013 | CRIM_Person_0014,"Graduale triplex, p. 744",,,,,,
CRIM_Source_0017,,Missa Ave Maria | Missa Mente tota,1515,,Petrucci,CRIM_Person_0017,GB-Lbl K.1.d.12.,https://repository.royalholloway.ac.uk/items/f31a38a2-7510-97d8-05d4-f7fe81b5556e/1/treenav.jsp?tempwn.b=close,,,,,
CRIM_Source_0018,,Ave Maria,1502,,Petrucci,CRIM_Person_0017,F-Pn ?,http://conquest.imslp.info/files/imglnks/usimg/8/88/IMSLP233459-PMLP379653-motetti-a.pdf,,,,,
CRIM_Source_0019,,Missa Je suis Déshéritée,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-16 RISM A I, G 5172",http://gallica.bnf.fr/ark:/12148/btv1b90597672,,,,,
CRIM_Source_0020,,"Chansons nouvelles à quatre parties, en ung volume et en deux",1540,,Attaignant,CRIM_Person_0005,F-Pn RESVMI-548-4,,,,,,
CRIM_Source_0021,,Missa Je suis Déshéritée,1557,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-19 RISM A I, G 2976",http://gallica.bnf.fr/ark:/12148/btv1b9059772c,,,,,
CRIM_Source_0022,,Missa Quare fremuerunt gentes,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RES VM1-3 RISM A I, S 2821",http://gallica.bnf.fr/ark:/12148/btv1b55008880s,,,,,
CRIM_Source_0023,,Quare fremuerunt gentes,1542,,Attaignant | Jullet,CRIM_Person_0005 | CRIM_Person_0022,"A-Wn SA.78.C.1/1-4 19 RISM A I, S 2818",,,,,,
CRIM_Source_0024,,Missa Tota pulchra es,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RES VM1-6 RISM A I, S 2822",http://gallica.bnf.fr/ark:/12148/btv1b550088762,,,,,
CRIM_Source_0025,,Tota pulchra es,1535,,Attaignant,CRIM_Person_0005,D-Ju 4 Mus.2c(9) RISM 1535/3,http://archive.thulb.uni-jena.de/hisbest/receive/HisBest_cbu_00019211,,,,,
CRIM_Source_0026,,Missa Voulant honneur,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RES VM1- 5 - RISM A I, S 2823",http://gallica.bnf.fr/ark:/12148/btv1b55008888c,,,,,
CRIM_Source_0027,,Voulant honneur,1545,,Attaignant,CRIM_Person_0005,D-Mbs Rar. 900-1/35#18 - RISM 1545/12,http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb00086211-5,,,,,
CRIM_Source_0028,,Missa Je n’en puis plus durer,1557,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-21 RISM A I, D 1087",http://gallica.bnf.fr/ark:/12148/btv1b90597761,,,,,
CRIM_Source_0029,,Je n’en puis plus durer,1540,,Attaignant | Jullet,CRIM_Person_0005 | CRIM_Person_0022,D-Mbs 4 Mus.pr. 44783-1/11 RISM 1540/11,http://stimmbuecher.digitale-sammlungen.de/view?id=bsb00086197,,,,,
CRIM_Source_0030,,Missa Si bona suscepimus,1557,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-20 RISM A I, P 2024",http://gallica.bnf.fr/ark:/12148/btv1b9059775m,,,,,
CRIM_Source_0031,,Si bona suscepimus,1538,,Petreius,CRIM_Person_0027,D-Mbs 4 Mus.pr. 12#Beibd.5 RISM 1538/7,http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb00073123-6,,,,,
CRIM_Source_0032,,Missa Quo abiit dilectus tuus,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-17 RISM A I, M 275",http://gallica.bnf.fr/ark:/12148/btv1b9059768g,,,,,
CRIM_Source_0033,,Quo abiit dilectus tuus,1553,,Susato,CRIM_Person_0029,"D-Mbs 4 Mus.pr. 43 RISM B I, 1553/9",http://daten.digitale-sammlungen.de/0007/bsb00071845/images/index.html?fip=193.174.98.30&id=00071845&seite=1,,,,,
CRIM_Source_0034,,Mente tota,before 1531,yes,Wagenrieder,CRIM_Person_0030,D-Mbs 4 Mus.ms. 19 no. RISM 456051232,http://daten.digitale-sammlungen.de/~db/0007/bsb00079116/images/index.html?fip=193.174.98.30&seite=119&pdfseitex=,,,,,
CRIM_Source_0035,,Missa Benedicta es,1555-1575 (c. 1565),yes,Steidl | Pollet,CRIM_Person_0032 | CRIM_Person_0033,D-Mbs BSB-Hss Mus.ms. 46,http://daten.digitale-sammlungen.de/~db/0007/bsb00079127/images/index.html?fip=193.174.98.30&seite=5&pdfseitex=,,,,,
CRIM_Source_0036,,Benedicta es,1537,,Formschneider,CRIM_Person_0034,D-Mbs Mus.pr. 9606,http://stimmbuecher.digitale-sammlungen.de/view?id=bsb00083303,,,,,
CRIM_Source_0037,,Missa Mente tota,1520-1560 (c. 1550),yes,,,D-Mbs BSB-Hss Mus.ms. 42,http://daten.digitale-sammlungen.de/~db/0007/bsb00079126/images/index.html?fip=193.174.98.30&seite=329&pdfseitex=,,,,,
CRIM_Source_0038,,Baisez moy,1545,,Susato,CRIM_Person_0029,D-Mbs 4 Mus.pr. 201,http://daten.digitale-sammlungen.de/~db/0007/bsb00078697/images/index.html?fip=193.174.98.30&seite=1&pdfseitex=,,,,,
CRIM_Source_0039,,Missa Baisez moy,1513-1514,yes,,,D-Ju  Chorbuch 4,http://archive.thulb.uni-jena.de/hisbest/rsc/viewer/HisBest_derivate_00002712/BE_1037_0204.tif,,,,,
CRIM_Source_0040,,Missa Benedicta es,1551,,Moderne,CRIM_Person_0007,US-R 300841,"http://imslp.org/wiki/Missarum,_Liber_I_et_II_(Morales,_Crist%C3%B3bal_de)",,,,,
CRIM_Source_0041,,Missa Benedicta es,1544,,Dorico,CRIM_Person_0038 | CRIM_Person_0039,D-Mbs 2 Mus.pr. 16-1/2,http://daten.digitale-sammlungen.de/~db/0009/bsb00092963/images/?viewmode=1,,,,,
CRIM_Source_0042,,Veni sponsa Christi,1564,,Gardane,CRIM_Person_0006,,,,,,,
CRIM_Source_0043,,Missa Veni Sponsa Christi,1599,,Scotto,CRIM_Person_0040,I-Bc T.313,http://www.bibliotecamusica.it/cmbm/scripts/gaspari/scheda.asp?id=4070,,,,,
CRIM_Source_0044,,Susanne un jour,1570,,Phalèse,CRIM_Person_0042,D-Mbs 4 Mus.pr. 136#Beibd.2,http://daten.digitale-sammlungen.de/~db/0007/bsb00071987/images/index.html?fip=193.174.98.30&seite=1&pdfseitex=,,,,,
CRIM_Source_0045,,Missa Susanne un jour,1570,,Phalèse,CRIM_Person_0042,"B-Lvu, Rés. C 81",http://depot.lias.be/delivery/DeliveryManagerServlet?dps_pid=IE4721114,,,,,
CRIM_Source_0046,,Suzanne un jour,1548,,Beringen,CRIM_Person_0046 | CRIM_Person_0047,F-Ch,http://www.cs.dartmouth.edu/%7Elsa/associated/Susanne/1erLivre1548.gif | http://www.cs.dartmouth.edu/%7Elsa/associated/Susanne/LupiFacsP1.gif | http://www.cs.dartmouth.edu/%7Elsa/associated/Susanne/LupiFacsP2.gif |,,,,,
CRIM_Source_0047,,Benedicta es,1514,,Petrucci,CRIM_Person_0017,I-Bc Q.70,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_Q/Q070/,,,,,
CRIM_Source_0048,,Benedicta es,13xx,yes,,,"US-Bfa, Ms 80504",,,,,,
CRIM_Source_0049,,Benedicta es,1539,,Gardano,CRIM_Person_0006,D-Mbs 4 Mus. Pr. 2427,http://daten.digitale-sammlungen.de/bsb00074348/image_1,,,,,