MEI File,Title,Mass Title,Section Title,Composer,Composer VIAF,Composer BNF ID,Date of Piece,Editor,Date Last Revised,Source_ID,Source Short Title,Source Title,Source Publisher,Publisher VIAF,Publisher BNF ID,Source Date,Source Reference,Source Location,Source Institution,Source Shelfmark ,Rights Statement,Copyright Owner(s)
CRIM_Mass_0001_1.mei,Missa Confitemini: Kyrie,Missa Confitemini,Kyrie,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,This will be the date we make these updates!,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0001_2.mei,Missa Confitemini: Gloria,Missa Confitemini,Gloria,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0001_3.mei,Missa Confitemini: Credo,Missa Confitemini,Credo,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0001_4.mei,Missa Confitemini: Sanctus,Missa Confitemini,Sanctus,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0001_5.mei,Missa Confitemini: Agnus Dei,Missa Confitemini,Agnus Dei,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
,,,,,,,,,,,,,,,,,,,,,,
CRIM_Mass_0002_1.mei,Missa Vidi speciosam: Kyrie,Missa Vidi speciosam,Kyrie,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0002_2.mei,Missa Vidi speciosam: Gloria,Missa Vidi speciosam,Gloria,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0002_3.mei,Missa Vidi speciosam: Credo,Missa Vidi speciosam,Credo,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0002_4.mei,Missa Vidi speciosam: Sanctus,Missa Vidi speciosam,Sanctus,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0002_5.mei,Missa Vidi speciosam: Agnus Dei,Missa Vidi speciosam,Agnus Dei,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
,,,,,,,,,,,,,,,,,,,,,,
CRIM_Mass_0003_1.mei,Missa O gente brunette: Kyrie,Missa O gente brunette,Kyrie,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0003_2.mei,Missa O gente brunette: Gloria,Missa O gente brunette,Gloria,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0003_3.mei,Missa O gente brunette: Credo,Missa O gente brunette,Credo,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0003_4.mei,Missa O gente brunette: Sanctus,Missa O gente brunette,Sanctus,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0003_5.mei,Missa O gente brunette: Agnus Dei,Missa O gente brunette,Agnus Dei,Nicolas De Marle,https://viaf.org/viaf/44485735,https://data.bnf.fr/ark:/12148/cb13897105h,1568,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0009,"Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. ","Missa cum quatuor vocibus Ad imitationem Cantionis, O gente brunette, condita. Authore D. Nicolao De Marle, puerorum chorialium insignis Ecclesiae Novionensis Moderatore.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1568,"RISM A I, M 711",Paris,Bibliothèque nationale de France,RES VM1-22,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
,,,,,,,,,,,,,,,,,,,,,,
CRIM_Mass_0004_1.mei,Missa Virginis Mariae: Kyrie,Missa Virginis Mariae,Kyrie,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18 ,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0004_2.mei,Missa Virginis Mariae: Gloria,Missa Virginis Mariae,Gloria,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18 ,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0004_3.mei,Missa Virginis Mariae: Credo,Missa Virginis Mariae,Credo,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18 ,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0004_4.mei,Missa Virginis Mariae: Sanctus,Missa Virginis Mariae,Sanctus,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18 ,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0004_5.mei,Missa Virginis Mariae: Agnus Dei,Missa Virginis Mariae,Agnus Dei,Pierre Clereau,http://viaf.org/viaf/19864891,https://data.bnf.fr/ark:/12148/cb138925778,1557,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0011,"Missa cum quatuor vocibus, Ad imitationem Missae Virginis Mariae, condita. ","Missa cum quatuor vocibus, ad imitationem Missae Virginis Mariae, condita . Nunc primum in lucem edita. Authore D. Petro Cler'eau, quondam pueris symphoniacis Ecclesiae Tulensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1557,"RISM A I, C 3187",Paris,Bibliothèque nationale de France,RES VM1-18 ,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
,,,,,,,,,,,,,,,,,,,,,,
CRIM_Mass_0005_1.mei,Missa Ave Maria: Kyrie,Missa Ave Maria,Kyrie,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0005_2.mei,Missa Ave Maria: Gloria,Missa Ave Maria,Gloria,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0005_3.mei,Missa Ave Maria: Credo,Missa Ave Maria,Credo,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0005_4.mei,Missa Ave Maria: Sanctus,Missa Ave Maria,Sanctus,Antoine de Févin,http://viaf.org/viaf/3285407,https://data.bnf.fr/ark:/12148/cb147860063,1515,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0017,Missa Sancta trinitas. Missa Mente tota. Missa Ave Maria. Missa Le vilayn jaloys. Missa quarti toni.,Misse Antonii de Feuin. Sancta trinitas. Mente tota. Aue Maria. Le vilayn ialoys. Roberti de feuin. Quarti toni. Pierzon.,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,1515,"RISM B I, 1515-01",London,The British Library,K.1.d.12,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
